Rank,Institution,Country,academic_reputation_score,academic_reputation_rank,employer_reputation_score,"Employer Reputation
 RANK","Faculty Student
 SCORE","Faculty Student
 RANK","Citations per Faculty
 SCORE","Citations per Faculty
 RANK","International Faculty
 SCORE","International Faculty
 RANK","International Students
 SCORE","International Students
 RANK","International Research Network
 SCORE","International Research Network
 RANK","Employment Outcomes
 SCORE","Employment Outcomes
 RANK","Sustainability
 Score","Sustainability
 Rank",Overall
741-750,Carleton University,Canada,11.1,601+,13.5,599,3.8,701+,15.6,627,13.2,701+,43.7,329,67.3,517,34.3,367,26.3,478=,-
741-750,Universidad Católica Andres Bello,Venezuela,28.4,311,50.8,174,4.3,701+,1,701+,3.5,701+,2.7,701+,,,18.9,583,,,-
741-750,Universidad de Montevideo (UM),Uruguay,18.6,485,16.1,531,79.7,141,1.1,701+,21.5,576,3.1,701+,3,701+,6.5,701+,,,-
741-750,Universität Regensburg,Germany,10.3,601+,6,601+,80,138,6.1,701+,,,8.5,701+,69.1,496,15.3,650,2,701+,-
741-750,Universiti Malaysia Pahang,Malaysia,10.8,601+,5.3,601+,15.8,701+,35,383,22.1,567,8.6,701+,54.7,701+,4,701+,17.7,557=,-
741-750,University of Central Florida,United States,13.7,601+,23,410,2.9,701+,23.6,514,9.5,701+,4.3,701+,72.2,448,9.2,701+,12.1,621,-
741-750,University of the West of England,United Kingdom,9,601+,9,601+,7.5,701+,11.9,695,46.9,381,75.3,185,76.1,387,2.1,701+,14.3,602,-
741-750,University of Westminster,United Kingdom,11.5,601+,6.8,601+,5.7,701+,5.1,701+,77.4,249,100,33,35.4,701+,21.7,526,1.7,701+,-
741-750,V. N. Karazin Kharkiv National University,Ukraine,12.6,601+,16.9,507,64.6,207,1.4,701+,3.3,701+,55.7,269,29.4,701+,4,701+,4.9,701+,-
741-750,Victoria University ,Australia,6.9,601+,6.1,601+,2.4,701+,34.1,389,32.7,480,41.5,345,44.9,701+,6.4,701+,34.8,406=,-
741-750,Vytautas Magnus University,Lithuania,10.4,601+,16.8,512,41.8,371,2.4,701+,26.7,520,47.8,304,48.1,701+,21.6,529,6.7,701+,-
741-750,Wake Forest University,United States,5.1,601+,6.3,601+,100,10,8.6,701+,3.2,701+,10.9,701+,42.8,701+,15.4,648,1.7,701+,-
751-760,Instituto Tecnológico Autónomo de México (ITAM),Mexico,15.2,578,31,302,13.9,701+,1.6,701+,51,363,1.4,701+,7.7,701+,77.1,133,1,701+,-
751-760,Kaunas University of Technology,Lithuania,11.2,601+,18.5,477,31.1,507,7.9,701+,3.5,701+,28.6,439,64.2,569,23.2,491,16.1,577=,-
751-760,Technische Universität Braunschweig,Germany,10.9,601+,14.3,572,55.5,270,5.5,701+,,,24.2,486,66.4,532,12.6,701+,7.3,701+,-
751-760,Tokyo University of Science,Japan,10.4,601+,51.5,171,9.4,701+,10,701+,12.5,701+,3.7,701+,20.3,701+,41,313,2.4,701+,-
751-760,Universidade de Brasília,Brazil,25.3,348,7.9,601+,7.1,701+,4.2,701+,10.8,701+,1.5,701+,67.5,514,29.6,420,35.1,403=,-
751-760,Universita' Politecnica delle Marche,Italy,5.9,601+,2.8,601+,10.1,701+,48.4,275,4.9,701+,6.3,701+,77.7,366,1.9,701+,6.4,701+,-
751-760,University of Calcutta,India,17.1,529,6.5,601+,5.5,701+,21.4,539,24.7,541,1.1,701+,56,677,49.8,256,1.5,701+,-
751-760,University of Engineering & Technology (UET) Lahore,Pakistan,10,601+,43.2,212,18,701+,6.7,701+,1.1,701+,1.8,701+,41.6,701+,47.7,269,7.5,701+,-
751-760,University of Malta,Malta,6.1,601+,4.6,601+,31.7,498,7.2,701+,18,624,19.2,562,75.9,391,95.9,45,1.9,701+,-
751-760,University of Messina (UniME),Italy,8.4,601+,2.3,601+,14.2,701+,36.7,372,1.3,701+,6,701+,75.6,394,1.6,701+,36.6,393=,-
761-770,"Adam Mickiewicz University, Poznan",Poland,16,553,9.1,601+,33.3,473,4.8,701+,7.7,701+,8.3,701+,86.7,218,7.5,701+,31.6,432=,-
761-770,Bangladesh University of Engineering and Technology,Bangladesh,16.9,534,36.6,256,13.6,701+,14.9,640,,,1,701+,25.1,701+,22.2,518,1.2,701+,-
761-770,King Faisal University,Saudi Arabia,16.4,545,12.7,601+,14.5,701+,2.7,701+,98,121,3.9,701+,59.3,640,8.7,701+,1.5,701+,-
761-770,Nanjing University of Aeronautics and Astronautics,China (Mainland),5.5,601+,3.4,601+,12.4,701+,57.8,213,5.3,701+,3,701+,39.7,701+,1.4,701+,1.6,701+,-
761-770,University of Cincinnati,United States,11,601+,6,601+,19.4,687,22.9,521,4.3,701+,12.4,670,69,499,25.3,462,22.5,510=,-
761-770,"University of Colorado, Denver ",United States,8.2,601+,6.1,601+,100,5,3.6,701+,3.4,701+,8.1,701+,45.7,701+,5.6,701+,3.8,701+,-
761-770,University of Patras,Greece,11.7,601+,17.1,502,2.7,701+,27,475,1.4,701+,4.8,701+,60.6,626,3.7,701+,44.9,338=,-
771-780,Addis Ababa University,Ethiopia,6.4,601+,9.3,601+,58.8,249,1.7,701+,,,,,55.2,694,95.5,49,3.3,701+,-
771-780,Bournemouth University,United Kingdom,5.8,601+,6.4,601+,6.1,701+,16.4,617,80.3,237,47.1,312,72.6,445,4.8,701+,5.3,701+,-
771-780,Chiba University,Japan,16.6,542,8.5,601+,66.1,197,8.8,701+,7.5,701+,4.3,701+,28.9,701+,3.8,701+,8.7,695,-
771-780,China University of Geosciences,China (Mainland),5.1,601+,1.4,601+,53.6,284,31.8,415,1.5,701+,2.7,701+,67,523,1.4,701+,4,701+,-
771-780,Colegio de México,Mexico,14.9,584,2.5,601+,100,1,1.7,701+,8.5,701+,16.4,596,9.6,701+,3.2,701+,1,701+,-
771-780,Holy Spirit University of Kaslik ,Lebanon,6.7,601+,6.4,601+,62.3,226,2.1,701+,98.9,108,37.8,372,6.5,701+,5.7,701+,1.1,701+,-
771-780,Universidad del Rosario,Colombia,15.8,558,28.5,335,24.2,607,2.5,701+,7.2,701+,2.7,701+,31.8,701+,41.1,312,24.5,492=,-
771-780,Université de Tunis El Manar,Tunisia,9.4,601+,4.3,601+,26,573,5.1,701+,39.5,421,7.8,701+,82.1,288,54.1,230,16.3,570=,-
771-780,"University of Maryland, Baltimore County",United States,10.2,601+,6.8,601+,14.1,701+,13.5,659,49.8,367,25.8,469,45,701+,4.5,701+,57.7,276=,-
771-780,University of Pecs,Hungary,14.3,601+,11.9,601+,41.4,377,2.8,701+,9.3,701+,64.3,233,40.3,701+,4,701+,11.3,636=,-
771-780,Verona University,Italy,9.1,601+,2.7,601+,4.1,701+,41.6,333,4.5,701+,4.2,701+,71,468,3.1,701+,22.5,510=,-
781-790,Babes-Bolyai University,Romania,15.5,569,19.5,463,5.3,701+,4.4,701+,7.8,701+,3.8,701+,80.1,321,26.7,445,42.7,354,-
781-790,Kasetsart University,Thailand,25.2,350,18.6,475,6.5,701+,2.5,701+,4.3,701+,1.3,701+,51.9,701+,18.5,593,33.9,415,-
781-790,National University of Uzbekistan,Uzbekistan,25.5,347,15.8,540,5.2,701+,1.3,701+,89,197,2.5,701+,11.8,701+,20.4,559,1.4,701+,-
781-790,Qassim University,Saudi Arabia,10.6,601+,5,601+,33.9,465,1.8,701+,98.3,117,7.9,701+,68.3,511,2.4,701+,9.3,683=,-
781-790,Texas Tech University,United States,10.9,601+,10.6,601+,6.2,701+,11.3,701+,36.6,436,9.6,701+,70.5,478,13.7,701+,55.4,285=,-
781-790,The New School,United States,15.2,580,8.2,601+,41.1,381,2.6,701+,5.7,701+,92.3,106,19.6,701+,13.5,701+,1,701+,-
781-790,Universidad de Belgrano,Argentina,9.4,601+,12.7,601+,86.6,100,1,701+,5.4,701+,24.1,490,2.5,701+,37.4,343,,,-
781-790,Universidade Federal de Santa Catarina ,Brazil,19.3,465,4.8,601+,19.2,693,8.5,701+,4.1,701+,2.2,701+,62.1,604,17.3,614,52.1,305=,-
781-790,University of Latvia,Latvia,11.5,601+,16.7,515,5.9,701+,5.3,701+,12.1,701+,5.1,701+,71.5,460,90.4,75,9.8,672=,-
781-790,University of Mons ,Belgium,7.1,601+,7,601+,3.4,701+,37.3,369,35,458,33.7,400,43.7,701+,6.1,701+,1.6,701+,-
781-790,Zürcher Hochschule Winterthur,Switzerland,5.4,601+,6.6,601+,75,166,2.7,701+,65.9,297,12.8,664,41.4,701+,5.3,701+,1.6,701+,-
791-800,Alfaisal University,Saudi Arabia,4.8,601+,3,601+,21.6,644,10.6,701+,100,30,89,128,19.1,701+,4.4,701+,1.1,701+,-
791-800,Ivane Javakhishvili Tbilisi State University,Georgia,10.4,601+,1.2,601+,73.9,173,1.2,701+,1.9,701+,3.2,701+,22.7,701+,88.4,86,1,701+,-
791-800,Keele University ,United Kingdom,6,601+,4.4,601+,14.4,701+,26.2,484,51.6,359,30.7,423,62.9,586,6.9,701+,3.1,701+,-
791-800,New Jersey Institute of Technology (NJIT),United States,4.8,601+,6.7,601+,10.2,701+,30.4,433,31.5,487,52.9,278,29.1,701+,5.1,701+,26.5,476=,-
791-800,Sechenov University,Russia,5.3,601+,5,601+,57.4,256,4.3,701+,9,701+,63,241,83.6,272,1.9,701+,1,701+,-
791-800,Universidad de Antioquia,Colombia,29.1,303,20.8,440,4.1,701+,4.3,701+,3.7,701+,1.2,701+,48.1,701+,20.4,556,2.9,701+,-
791-800,University of Kentucky,United States,11.1,601+,9.8,601+,15.3,701+,23.5,516,12.9,701+,3.3,701+,75.4,400,13.9,695,10.1,661=,-
791-800,University of New Mexico,United States,10.5,601+,8,601+,43.5,360,14.9,637,8.2,701+,4,701+,73.1,436,7.3,701+,11,644=,-
791-800,Vellore Institute of Technology (VIT),India,12.7,601+,16.1,527,7.3,701+,18.9,570,8.9,701+,2.9,701+,76.9,379,6.1,701+,29.6,447=,-
791-800,Wayne State University,United States,7.6,601+,3.4,601+,62.1,229,10.6,701+,13.3,700,5.4,701+,73.6,425,19.4,572,3.1,701+,-
801-850,Al-Ahliyya Amman University,Jordan,9.6,601+,10.1,601+,9.4,701+,2.7,701+,75.5,260,100,28,16.9,701+,4.6,701+,1.5,701+,-
801-850,Alexandria University ,Egypt,23.1,385,18.3,482,4.5,701+,2,701+,1.7,701+,4.8,701+,76.4,386,24.3,467,6.9,701+,-
801-850,Ankara Üniversitesi,Turkey,20.2,439,16.8,511,7.8,701+,2.6,701+,2.3,701+,4.6,701+,70.6,477,53.5,234,2.9,701+,-
801-850,Asia University Taiwan,Taiwan,5.9,601+,1.8,601+,3.6,701+,52.5,247,9.9,701+,3.2,701+,57.1,661,2,701+,1.7,701+,-
801-850,Beijing University of Technology,China (Mainland),7.7,601+,4.9,601+,38.2,417,33.1,399,4.7,701+,1.8,701+,31.9,701+,4.2,701+,1.6,701+,-
801-850,Belarusian National Technical University (BNTU),Belarus,14.8,588,26.7,359,51,302,1,701+,2.1,701+,34.1,398,5.1,701+,5.6,701+,,,-
801-850,"Birla Institute of Technology and Science, Pilani",India,11,601+,19.7,459,8,701+,20.4,552,2.2,701+,2.5,701+,37.6,701+,25.4,461,30.4,442,-
801-850,Edinburgh Napier University,United Kingdom,5,601+,5,601+,4,701+,11.8,698,77.5,248,86,146,60.1,633,4.9,701+,2.2,701+,-
801-850,Gdansk University of Technology,Poland,9.4,601+,15.2,553,29.6,527,12.7,676,5.3,701+,4,701+,65.8,546,3.2,701+,33.3,418=,-
801-850,Huazhong Agricultural University,China (Mainland),4.2,601+,2.1,601+,6,701+,59.7,204,3.7,701+,1.6,701+,31.6,701+,3,701+,2.9,701+,-
801-850,Immanuel Kant Baltic Federal University,Russia,7.6,601+,2.5,601+,79.4,142,1.8,701+,21.8,572,40.2,353,35.2,701+,1.9,701+,1.2,701+,-
801-850,Instituto Politécnico Nacional (IPN),Mexico,19.1,471,28.8,328,9.1,701+,2,701+,2.2,701+,1.1,701+,46,701+,6.8,701+,35.7,398=,-
801-850,Jouf University,Saudi Arabia,11.7,601+,5.1,601+,37.1,433,2.3,701+,100,32,2.6,701+,43.5,701+,2.4,701+,1,701+,-
801-850,Khoja Akhmet Yassawi International Kazakh-Turkish University,Kazakhstan,16.7,537,27.9,343,44.6,347,1.2,701+,7.1,701+,16.3,599,3.2,701+,7.7,701+,1.5,701+,-
801-850,Kuwait University,Kuwait,14.7,593,7.9,601+,6.8,701+,2.9,701+,20.4,591,19.4,558,39.3,701+,93.8,58,17.1,562,-
801-850,Liverpool John Moores University,United Kingdom,10,601+,6.8,601+,8,701+,12.3,683,46.7,384,22.4,513,87.7,201,5.4,701+,13.6,604,-
801-850,London South Bank University,United Kingdom,3.3,601+,2.9,601+,9.1,701+,4.4,701+,87.1,211,96.8,81,47.6,701+,8.5,701+,15.4,585=,-
801-850,Maynooth University,Ireland,10.4,601+,7.7,601+,9.2,701+,12.7,673,87.4,207,16.7,591,48.5,701+,9.2,701+,6.4,701+,-
801-850,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,16.2,549,31.8,297,37.4,429,1.5,701+,1,701+,2,701+,20.4,701+,21.3,539,4.3,701+,-
801-850,Ocean University of China,China (Mainland),5.4,601+,2.7,601+,9.4,701+,50.5,258,3.2,701+,1.9,701+,51.1,701+,3,701+,4,701+,-
801-850,Philipps-Universität Marburg ,Germany,12.7,601+,8.8,601+,5.2,701+,25,498,14.9,666,20.7,529,61.6,607,4.8,701+,5.1,701+,-
801-850,Pontificia Universidad Católica de Valparaíso,Chile,27,325,24.4,395,4.7,701+,6.6,701+,11.3,701+,1.6,701+,39.9,701+,8.7,701+,1.6,701+,-
801-850,Rutgers University–Newark,United States,10.1,601+,4.9,601+,17.5,701+,17.6,587,25.3,529,32.7,408,27.9,701+,36.9,346,29.3,451=,-
801-850,Syracuse University,United States,12.9,601+,8.7,601+,11.6,701+,10.6,701+,5.8,701+,39.3,357,55.5,684,42.7,301,11.6,629=,-
801-850,The Catholic University of Korea ,South Korea,4.5,601+,2.9,601+,98.6,42,14.1,652,3.8,701+,22.5,511,10.5,701+,1.9,701+,6.5,701+,-
801-850,Toronto Metropolitan University,Canada,8,601+,12,601+,1.8,701+,26.4,481,35.4,453,8.1,701+,57,662,15.1,660,3.8,701+,-
801-850,TU Dortmund University,Germany,14.1,601+,16,532,28.1,548,6.2,701+,22.4,564,17.1,584,61.1,616,6.8,701+,3.7,701+,-
801-850,Universidad Anáhuac México,Mexico,13.1,601+,20.4,446,50,308,1.1,701+,5.3,701+,3,701+,5.8,701+,61.8,194,1,701+,-
801-850,Universidad Iberoamericana IBERO,Mexico,18.5,487,24.3,398,32.3,488,1.3,701+,5.4,701+,2.2,701+,5.2,701+,63.6,185,1.1,701+,-
801-850,Universidad San Francisco de Quito (USFQ),Ecuador,16,554,8.6,601+,40.1,390,2.4,701+,53.1,352,1.9,701+,24.9,701+,13.2,701+,21.5,518=,-
801-850,Università degli Studi di Perugia,Italy,9.1,601+,2.3,601+,3.5,701+,40.9,341,6.4,701+,5.4,701+,65.9,542,1.7,701+,11.5,632=,-
801-850,Universitas Brawijaya ,Indonesia,19.2,469,42.4,219,11.5,701+,1.4,701+,13.7,692,1.4,701+,19.6,701+,13.1,701+,9,690,-
801-850,Universität Duisburg-Essen,Germany,11.3,601+,4.2,601+,13.2,701+,11.2,701+,35,457,39.4,355,81.4,298,12.2,701+,5.9,701+,-
801-850,Universität Rostock,Germany,7.3,601+,2.9,601+,84.4,110,5.2,701+,,,13.2,657,68.8,501,4.4,701+,3.4,701+,-
801-850,Université de Lorraine,France,13.6,601+,3.3,601+,7,701+,12.9,668,27.6,512,27.4,453,95.9,59,14.8,669,11.8,623=,-
801-850,Universiti Tunku Abdul Rahman (UTAR),Malaysia,14,601+,30.9,304,12.4,701+,5.8,701+,12.7,701+,4.9,701+,45.5,701+,3.8,701+,26.5,476=,-
801-850,University of Alaska Fairbanks,United States,2.7,601+,2,601+,98.8,41,12.9,670,4.8,701+,3,701+,42.6,701+,4.2,701+,2.5,701+,-
801-850,University of Alicante,Spain,13.5,601+,6.7,601+,25.3,588,7.7,701+,7.3,701+,12.8,662,71.7,454,7.6,701+,31.3,435=,-
801-850,University of Baghdad,Iraq,11,601+,16.9,509,24.6,598,1.5,701+,2.4,701+,1.1,701+,63.5,580,72.7,148,3.1,701+,-
801-850,University of Bari,Italy,12.4,601+,3,601+,4.6,701+,25,497,4.9,701+,2,701+,81.6,292,7.7,701+,25.7,483=,-
801-850,University of Brighton,United Kingdom,7.9,601+,6.1,601+,8.5,701+,14.9,639,54.8,340,51.1,288,72.5,446,6.1,701+,6.5,701+,-
801-850,University of Bucharest,Romania,15.2,577,19.5,462,7.1,701+,4.2,701+,2.6,701+,2,701+,69.1,498,53.4,235,25.7,483=,-
801-850,University of Hyderabad,India,13.2,601+,3,601+,14.5,701+,41.5,335,1.9,701+,2,701+,27,701+,3.1,701+,1.2,701+,-
801-850,University of Oregon,United States,18.3,496,9.4,601+,9.4,701+,18.5,573,7.6,701+,3.6,701+,53.4,701+,23.3,485,16.1,577=,-
801-850,University of Petroleum and Energy Studies (UPES),India,21.8,405,6.1,601+,39.5,391,3.4,701+,18.2,622,1.2,701+,56.9,666,1.9,701+,1,701+,-
801-850,University of Salerno,Italy,8.6,601+,2.4,601+,5.6,701+,37.1,370,3.3,701+,1.6,701+,87.4,205,4,701+,19.2,545=,-
801-850,University of Stavanger,Norway,7.1,601+,5.8,601+,84.6,108,5,701+,,,,,69.6,489,10,701+,5.1,701+,-
801-850,University of Ulsan ,South Korea,5,601+,2.3,601+,60,241,33.6,392,2,701+,2.4,701+,28.8,701+,3.8,701+,5.6,701+,-
801-850,Wuhan University of Technology,China (Mainland),6.9,601+,2.5,601+,11.5,701+,47,290,,,2.5,701+,51,701+,5.8,701+,1.5,701+,-
851-900,AGH University of Science and Technology,Poland,9.6,601+,13.9,587,41.5,376,6.5,701+,2.9,701+,5.3,701+,75.6,395,3.2,701+,1.7,701+,-
851-900,Al-Quds University,"Palestinian Territory, Occupied",5.8,601+,14.6,568,12.7,701+,1.7,701+,61.5,318,66.8,222,30.6,701+,23.5,482,3,701+,-
851-900,Applied Science Private University - Jordan,Jordan,9.9,601+,15.7,542,28.6,541,3.1,701+,39.3,422,59.7,248,10.4,701+,4.6,701+,1.8,701+,-
851-900,Charles Sturt University ,Australia,5.1,601+,5.4,601+,8.2,701+,8.1,701+,45.4,395,47.9,303,53.4,701+,7.4,701+,41.7,357,-
851-900,Chonnam National University,South Korea,9.3,601+,4.7,601+,45.4,341,12.4,682,9,701+,7.3,701+,28.5,701+,4.7,701+,44.3,348=,-
851-900,Chungnam National University,South Korea,8.8,601+,7.8,601+,46.3,334,10.7,701+,7.2,701+,9.2,701+,32.7,701+,5,701+,25.7,483=,-
851-900,Clarkson University,United States,1.3,601+,1.9,601+,13.5,701+,41.8,329,48.5,374,15,623,30.6,701+,7.9,701+,1.2,701+,-
851-900,CY Cergy Paris University,France,3.7,601+,2.5,601+,49.5,317,5,701+,47.2,378,45.9,320,46,701+,1.5,701+,1.4,701+,-
851-900,Donghua University,China (Mainland),3.8,601+,1.6,601+,25.5,582,47.3,286,2.2,701+,3.1,701+,31.1,701+,3.7,701+,1.1,701+,-
851-900,Georgia State University,United States,11.3,601+,14.2,580,4.3,701+,22.4,526,4.8,701+,10.4,701+,62.3,600,18.2,599,7.2,701+,-
851-900,Gulf University for Science and Technology,Kuwait,14.6,597,9.3,601+,11.2,701+,4.8,701+,100,18,27.7,448,9.3,701+,11,701+,1.1,701+,-
851-900,Jamia Millia Islamia,India,9.3,601+,3.1,601+,33.6,470,26,486,3.2,701+,5.2,701+,43,701+,1.9,701+,1.6,701+,-
851-900,Kansas State University ,United States,8.2,601+,6.7,601+,10.3,701+,22.1,531,10.1,701+,4.6,701+,74.9,411,13.5,701+,10.2,660,-
851-900,Karaganda State Technical University,Kazakhstan,9.7,601+,7.7,601+,84.6,109,1.1,701+,10,701+,18.8,572,2.4,701+,5.8,701+,1.2,701+,-
851-900,Kyrgyz Russian Slavic University,Kyrgyzstan,9.3,601+,7,601+,99.8,26,1,701+,,,,,3.1,701+,24.1,470,,,-
851-900,Mendel University in Brno,Czech Republic,6.2,601+,6.5,601+,55.1,276,4.1,701+,11.2,701+,32.1,413,59.1,643,3.8,701+,1.2,701+,-
851-900,Nagasaki University,Japan,6.9,601+,2.3,601+,81,127,6.3,701+,5.8,701+,4.7,701+,49.2,701+,3,701+,2.1,701+,-
851-900,Northwest Agriculture and Forestry University,China (Mainland),4.5,601+,1.4,601+,28.5,544,36.8,371,,,1.4,701+,58.8,645,3,701+,1.6,701+,-
851-900,North-West University,South Africa,7.4,601+,11,601+,4.9,701+,14.9,638,6.6,701+,2,701+,92.9,122,16.7,619,28.4,456=,-
851-900,Okayama University,Japan,8.9,601+,3.7,601+,61.3,233,7.7,701+,6.1,701+,6.3,701+,52.5,701+,2.9,701+,14.5,600=,-
851-900,Oklahoma State University ,United States,8.3,601+,8.1,601+,9.2,701+,13.3,663,49.9,366,6.1,701+,66.8,526,17.3,610,9.4,680=,-
851-900,Pavol Jozef Šafárik University in Košice,Slovakia,4.7,601+,5.1,601+,59.7,244,3,701+,5.1,701+,65.3,228,41.7,701+,4.6,701+,1,701+,-
851-900,Poznan University of Life Sciences,Poland,5.6,601+,2.2,601+,94.3,67,6.4,701+,1.9,701+,7.9,701+,31,701+,3.3,701+,1.1,701+,-
851-900,Shahid Beheshti University (SBU),"Iran, Islamic Republic of",7.9,601+,7.3,601+,4.1,701+,33.3,397,1.6,701+,1.6,701+,64.7,563,19,582,1.5,701+,-
851-900,Swarthmore College,United States,3.4,601+,2.4,601+,88.8,91,11.7,699,8.7,701+,21.6,520,12.3,701+,15.2,652,1,701+,-
851-900,Technological University Dublin,Ireland,12.6,601+,13.1,601+,12.3,701+,3.1,701+,31.8,485,38.8,362,43.9,701+,16.2,631,28.2,461,-
851-900,Thapar Institute of Engineering & Technology,India,4.7,601+,4.4,601+,8.8,701+,46.1,300,5.2,701+,1.8,701+,31.1,701+,3.1,701+,11.8,623=,-
851-900,Tokyo University of Agriculture and Technology ,Japan,13.8,601+,7.4,601+,12.9,701+,30.5,430,5.4,701+,7.1,701+,40.4,701+,1.9,701+,1.3,701+,-
851-900,Universidad de Valladolid,Spain,10.5,601+,3.8,601+,34.4,460,4.3,701+,7,701+,3.6,701+,80.2,316,11.9,701+,43.9,352,-
851-900,Universidad ORT Uruguay,Uruguay,11.2,601+,12.4,601+,79,145,1.1,701+,15.8,655,1.9,701+,3.4,701+,5.7,701+,1,701+,-
851-900,Universita' degli Studi di Ferrara,Italy,6.7,601+,2.6,601+,2.6,701+,34.6,386,2.9,701+,3.6,701+,70,487,4.1,701+,27.3,468=,-
851-900,Université de Nantes,France,10.4,601+,3.4,601+,7.8,701+,21.4,540,19.8,601,15.1,619,87.3,211,2.8,701+,7.5,701+,-
851-900,Université de Sherbrooke,Canada,6.8,601+,4.2,601+,18.8,701+,16.9,604,54.7,341,7.6,701+,43,701+,23.4,483,8,701+,-
851-900,Université du Québec,Canada,15.3,574,7.6,601+,1.8,701+,10.9,701+,32.9,479,11,699,62.6,593,21.6,530,9.9,667=,-
851-900,University at Albany SUNY,United States,8.1,601+,4.5,601+,5.4,701+,33.9,391,3.9,701+,7.2,701+,66,540,4.2,701+,13.2,606=,-
851-900,University Duesseldorf,Germany,12.3,601+,8.5,601+,44.3,350,7.2,701+,,,14.1,639,66.2,536,3.8,701+,2.2,701+,-
851-900,University of Dubai,United Arab Emirates,5.2,601+,4.2,601+,10.6,701+,11,701+,100,1=,72,204,8.2,701+,10.2,701+,1,701+,-
851-900,UNIVERSITY OF GDANSK,Poland,12,601+,6.2,601+,34.9,454,3.9,701+,4.8,701+,2.4,701+,70.6,476,14.1,687,25.7,483=,-
851-900,University of Ghana,Ghana,11.5,601+,7.6,601+,1.9,701+,5.3,701+,4.5,701+,1.7,701+,72.8,443,95.4,51,7.6,701+,-
851-900,University of Hertfordshire,United Kingdom,4.4,601+,3.7,601+,5.9,701+,5.2,701+,62,316,100,34,58.8,647,10.1,701+,2.1,701+,-
851-900,University of Lincoln,United Kingdom,5.9,601+,4.7,601+,7.9,701+,9.9,701+,74,271,47.2,311,58.5,650,4.8,701+,10.1,661=,-
851-900,University of Mississippi,United States,4.2,601+,2,601+,83,118,5.5,701+,6.1,701+,2.9,701+,58,655,3.6,701+,1.7,701+,-
851-900,University of Palermo,Italy,11.1,601+,2.3,601+,4.4,701+,32.2,408,2.4,701+,1.9,701+,81.6,293,4.5,701+,5.7,701+,-
851-900,University of Santo Tomas,Philippines,12.8,601+,39.9,237,12.5,701+,1.3,701+,34.9,459,5.8,701+,18.1,701+,14.1,690,2.4,701+,-
851-900,University of South Africa,South Africa,10.6,601+,7.2,601+,1.1,701+,7.3,701+,,,7.3,701+,91,156,92.8,65,3.1,701+,-
851-900,University of Wroclaw,Poland,14.9,587,12.6,601+,32.1,492,3.9,701+,5,701+,8.4,701+,54.3,701+,12,701+,9.3,683=,-
851-900,"Vietnam National University, Hanoi ",Vietnam,15.3,575,18.7,472,7.6,701+,2.4,701+,5.5,701+,1.2,701+,61,620,60.1,202,6.4,701+,-
851-900,Vilnius Gediminas Technical University,Lithuania,8.7,601+,13.8,589,37.7,424,7.8,701+,14.7,669,32.9,406,41.4,701+,6.9,701+,2,701+,-
851-900,Virginia Commonwealth University,United States,7.1,601+,8.5,601+,38.8,405,12.8,672,9.7,701+,3.2,701+,73.5,428,8.2,701+,8.5,696=,-
851-900,Yildiz Technical University,Turkey,9.7,601+,24.7,386,4.2,701+,12.2,684,9.1,701+,18.5,574,38.9,701+,19.9,566,35.1,403=,-
901-950,Australian Catholic University,Australia,8.2,601+,8.9,601+,5.1,701+,12.1,688,71,279,41.7,340,33.9,701+,1.7,701+,2.7,701+,-
901-950,Beijing Jiaotong University,China (Mainland),9.7,601+,5.4,601+,15.2,701+,31.8,414,4.7,701+,9.6,701+,29.1,701+,9.6,701+,1.2,701+,-
901-950,Beijing University of Posts and Telecommunications,China (Mainland),3.2,601+,2.6,601+,10.2,701+,49.3,271,4.7,701+,1.7,701+,18.7,701+,13.5,701+,1.4,701+,-
901-950,Catania University,Italy,11.6,601+,3,601+,5.4,701+,23.4,517,3.5,701+,4.5,701+,71.3,465,5.7,701+,3.6,701+,-
901-950,Future University in Egypt,Egypt,4.8,601+,34.7,272,34.9,453,2,701+,11.7,701+,21.7,519,40,701+,2.9,701+,1.1,701+,-
901-950,Gazi Üniversitesi,Turkey,18.6,483,15.3,551,6,701+,4.4,701+,1,701+,3.3,701+,56,679,18.2,597,20.1,530=,-
901-950,Georgian Technical University,Georgia,7.1,601+,6.6,601+,1,701+,46.9,291,,,,,5.4,701+,25.9,457,1,701+,-
901-950,German Jordanian University,Jordan,8.6,601+,15.1,554,21.4,645,5.6,701+,65.3,301,16.3,600,17.8,701+,8.5,701+,1.5,701+,-
901-950,Imam Mohammad Ibn Saud Islamic University – IMSIU,Saudi Arabia,14.8,589,7.6,601+,17.4,701+,1.5,701+,46.2,389,4.2,701+,41.9,701+,26.5,447,1,701+,-
901-950,Kanazawa University,Japan,10.5,601+,3.9,601+,55.1,275,12.2,686,8.1,701+,5.8,701+,31.9,701+,1.8,701+,1.6,701+,-
901-950,Karaganda Buketov University,Kazakhstan,15.6,563,24.5,391,41.3,379,1.1,701+,13.1,701+,5.2,701+,7.5,701+,7.8,701+,1,701+,-
901-950,Kyrgyz-Turkish Manas University,Kyrgyzstan,15.1,583,10.9,601+,10.7,701+,1.7,701+,90.5,189,19.7,549,7.1,701+,5.7,701+,1,701+,-
